"日期","收盘","开盘","高","低","涨跌幅"
"2023-5-24","2.299","2.300","2.307","2.293","-0.07%"
"2023-5-23","2.301","2.314","2.315","2.290","-1.24%"
"2023-5-22","2.330","2.430","2.430","2.318","-1.31%"
"2023-5-19","2.361","2.430","2.430","2.353","-0.84%"
"2023-5-18","2.381","2.423","2.438","2.373","0.13%"
"2023-5-17","2.378","2.380","2.380","2.355","0.25%"
"2023-5-16","2.372","2.428","2.428","2.353","0.68%"
"2023-5-15","2.356","2.430","2.435","2.342","0.26%"
"2023-5-12","2.350","2.410","2.410","2.344","0.26%"
"2023-5-11","2.344","2.440","2.440","2.333","-1.43%"
"2023-5-10","2.378","2.430","2.430","2.368","-1.49%"
"2023-5-9","2.414","2.473","2.473","2.395","0.12%"
"2023-5-8","2.411","2.485","2.485","2.395","1.03%"
"2023-5-6","2.386","2.385","2.390","2.384","-0.48%"
"2023-5-5","2.398","2.470","2.470","2.385","-1.24%"
"2023-5-4","2.428","2.530","2.530","2.418","-0.94%"
"2023-4-28","2.451","2.480","2.480","2.440","0.12%"
"2023-4-27","2.448","2.560","2.560","2.438","-1.09%"
"2023-4-26","2.475","2.571","2.571","2.464","-0.24%"
"2023-4-25","2.481","2.572","2.572","2.473","-0.04%"
"2023-4-24","2.482","2.575","2.575","2.474","0.26%"
"2023-4-23","2.476","2.473","2.480","2.473","-0.54%"
"2023-4-21","2.489","2.555","2.555","2.478","0.16%"
"2023-4-20","2.485","2.550","2.550","2.476","-0.12%"
"2023-4-19","2.488","2.583","2.583","2.473","-0.28%"
"2023-4-18","2.495","2.560","2.560","2.485","-0.08%"
"2023-4-17","2.497","2.578","2.578","2.485","0.40%"
"2023-4-14","2.487","2.530","2.530","2.480","-0.72%"
"2023-4-13","2.505","2.520","2.520","2.475","0.60%"
"2023-4-12","2.490","2.580","2.580","2.480","-0.04%"
"2023-4-11","2.491","2.540","2.540","2.480","-0.48%"
"2023-4-10","2.503","2.580","2.580","2.495","-0.20%"
"2023-4-7","2.508","2.600","2.600","2.495","-0.08%"
"2023-4-6","2.510","2.598","2.598","2.503","0.00%"
"2023-4-4","2.510","2.590","2.590","2.500","0.04%"
"2023-4-3","2.509","2.595","2.595","2.503","-0.36%"
"2023-3-31","2.518","2.613","2.613","2.505","-0.51%"
"2023-3-30","2.531","2.560","2.560","2.504","0.64%"
"2023-3-29","2.515","2.618","2.618","2.515","-0.51%"
"2023-3-28","2.528","2.540","2.540","2.520","-0.43%"
"2023-3-27","2.539","2.625","2.625","2.519","0.04%"
"2023-3-24","2.538","2.610","2.610","2.515","0.40%"
"2023-3-23","2.528","2.610","2.610","2.513","-0.20%"
"2023-3-22","2.533","2.605","2.605","2.515","0.60%"
"2023-3-21","2.518","2.540","2.540","2.495","0.72%"
"2023-3-20","2.500","2.550","2.550","2.490","-0.99%"
"2023-3-17","2.525","2.615","2.615","2.517","0.08%"
"2023-3-16","2.523","2.570","2.580","2.522","-0.28%"
"2023-3-15","2.530","2.573","2.573","2.525","-0.75%"
"2023-3-14","2.549","2.568","2.568","2.532","0.24%"
"2023-3-13","2.543","2.618","2.618","2.535","0.32%"
"2023-3-10","2.535","2.565","2.565","2.520","-0.12%"
"2023-3-9","2.538","2.620","2.620","2.525","-0.20%"
"2023-3-8","2.543","2.595","2.595","2.525","0.32%"
"2023-3-7","2.535","2.560","2.560","2.525","-0.31%"
"2023-3-6","2.543","2.575","2.575","2.524","-0.59%"
"2023-3-3","2.558","2.620","2.620","2.549","-0.58%"
"2023-3-2","2.573","2.653","2.653","2.560","0.51%"
"2023-3-1","2.560","2.590","2.590","2.559","-0.70%"
"2023-2-28","2.578","2.650","2.650","2.570","-0.39%"
"2023-2-27","2.588","2.640","2.640","2.578","0.19%"
"2023-2-24","2.583","2.620","2.620","2.575","-0.19%"
"2023-2-23","2.588","2.630","2.630","2.570","0.47%"
"2023-2-22","2.576","2.610","2.610","2.566","-0.16%"
"2023-2-21","2.580","2.630","2.630","2.571","0.35%"
"2023-2-20","2.571","2.610","2.610","2.535","1.38%"
"2023-2-17","2.536","2.569","2.569","2.533","0.04%"
"2023-2-16","2.535","2.595","2.595","2.530","0.04%"
"2023-2-15","2.534","2.560","2.560","2.525","0.32%"
"2023-2-14","2.526","2.598","2.598","2.521","-0.20%"
"2023-2-13","2.531","2.595","2.595","2.523","-0.04%"
"2023-2-10","2.532","2.560","2.560","2.518","0.24%"
"2023-2-9","2.526","2.560","2.560","2.520","-0.59%"
"2023-2-8","2.541","2.568","2.568","2.525","0.40%"
"2023-2-7","2.531","2.555","2.555","2.520","0.00%"
"2023-2-6","2.531","2.553","2.553","2.515","0.84%"
"2023-2-3","2.510","2.540","2.550","2.503","-0.79%"
"2023-2-2","2.530","2.550","2.580","2.515","0.04%"
"2023-2-1","2.529","2.555","2.555","2.510","0.16%"
"2023-1-31","2.525","2.630","2.630","2.505","-0.43%"
"2023-1-30","2.536","2.568","2.568","2.520","0.60%"
"2023-1-29","2.521","2.525","2.526","2.510","0.10%"
"2023-1-28","2.519","2.512","2.519","2.490","-2.12%"
"2023-1-20","2.573","2.595","2.595","2.532","0.90%"
